Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ulmWoodDowelsDesc,items,Item,,"Type: [decea3]Trade item[-] \nMaterial: [decea3]Wood[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.The wooden dowels can be used in woodworking to reinforce joints of various wooden components.",,,,
macheteBlade,items,Item,KgNone,"[FF0000]Machete Blade (Legacy Item)[-]",,,,
macheteBladeDesc,items,Item,,"Type: [decea3]Resource[-] [FDFF4F](Very Rare)[-]\nUsed: [decea3]Smithing Table[-]\nCrafted: [decea3]Smithing Table[-]\nRequires: [decea3]Blacksmith (Level 10)[-]\nMaterial: [decea3]Iron[-]\n\nThis item has been removed from the loot list and no longer has use in the game. Sell it to the trader while you can.Used for crafting a machete.",,,,
unit_copper,items,Item,KgNone,"unit_copper",,,,
unit_gold,items,Item,KgNone,"unit_gold",,,,
unit_silver,items,Item,KgNone,"unit_silver",,,,
unit_titanium,items,Item,KgNone,"unit_titanium",,,,
ulmActionFigure,items,Item,KgNone,"Action Figure",,,,
ulmActionFigureDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nLooks much like Goku, could it be? It's probably my imagination.",,,,
ulmStrangeDoll,items,Item,KgNone,"Strange looking doll",,,,
ulmStrangeDollDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nLooks scary and familiar, but I can't seem to remember from where.",,,,
ulmPlasticBricks,items,Item,KgNone,"Plastic Bricks",,,,
ulmPlasticBricksDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nOh those childhood memories, painful to step on though! Sadly I don't have time to play with them.",,,,
ulmToyCube,items,Item,KgNone,"Toy Cube",,,,
ulmToyCubeDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nI don't have time to solve puzzles.",,,,
ulmYoYo,items,Item,KgNone,"Yo Yo",,,,
ulmYoYoDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nOnce was an entertaining toy. The string looks loose and gets stuck easily. Guess I won't be using it for entertainment.",,,,
ulmCD,items,Item,KgNone,"CD",,,,
ulmCDDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nIt looks very damaged and scratched up. I don't think I can get anything out of it. There is no label on it. I wonder what it contained; was it perhaps blank? No one will know for sure.",,,,
ulmToothBrush,items,Item,KgNone,"Tooth Brush",,,,
ulmToothBrushDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nAn old tooth brush. Looks very dirty and disgusting. I won't use that any time soon.",,,,
ulmRazer,items,Item,KgNone,"Razor",,,,
ulmRazerDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nThe blade is blunt and has some rust on it.",,,,
ulmDice,items,Item,KgNone,"Dice",,,,
ulmDiceDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nOh, the memories. I miss playing board games. Sadly, they are useless now. Or are they?",,,,
ulmOldCassette,items,Item,KgNone,"Old Cassette",,,,
ulmOldCassetteDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nThe tape is all coiled up inside and doesn't budge.",,,,
ulmOldCartridge,items,Item,KgNone,"Old Cartridge",,,,
ulmOldCartridgeDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nAn outdated video game cartridge.",,,,
ulmDeskMirror,items,Item,KgNone,"Desk Mirror",,,,
ulmDeskMirrorDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Glass[-]\n\nIt's all scratched up and barely gives a reflection.",,,,
ulmThreadSpool,items,Item,KgNone,"Thread Spool",,,,
ulmThreadSpoolDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nIt can be used in crafting fine clothing.",,,,
ulmAlarmClock,items,Item,KgNone,"Alarm Clock",,,,
ulmAlarmClockDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nIt looks like it stopped working a long time ago.",,,,
ulmBugSquatter,items,Item,KgNone,"Bug Swatter",,,,
ulmBugSquatterDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nA little bit too small for fighting off Vultures, though.",,,,
ulmRattleToy,items,Item,KgNone,"Rattle Toy",,,,
ulmRattleToyDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nA child's toy. Looks like it still rattles if I shake it, but otherwise it's useless.",,,,
ulmCafeteriaTray,items,Item,KgNone,"Cafeteria Tray",,,,
ulmCafeteriaTrayDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nA filthy plastic cafeteria tray.",,,,
ulmToiletBrush,items,Item,KgNone,"Toilet Brush",,,,
ulmToiletBrushDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nA disgusting but necessary tool if you want to clean the toilet without making your hands too dirty.",,,,
ulmExtensionCable,items,Item,KgNone,"Extension Cable",,,,
ulmExtensionCableDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nAn extension Cable. A perfect source for Scrap Cables.",,,,
ulmVacuumCleanerHose,items,Item,KgNone,"Vacuum Cleaner Hose",,,,
ulmVacuumCleanerHoseDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nA plastic hose that bends and stretches very easily. Usually attached to a Vacuum Cleaner or Vacuum socket in the wall.",,,,
ulmVacuumCleanerTurboBrush,items,Item,KgNone,"Vacuum Cleaner Turbo Brush",,,,
ulmVacuumCleanerTurboBrushDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nMostly made out of plastic. Designed for handling carpet and floor vacuuming, it's usually attached to a vacuum cleaner hose.",,,,
ulmVacuumCleaner,items,Item,KgNone,"Vacuum Cleaner",,,,
ulmVacuumCleanerDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nA nifty household device for cleaning dusty floors and furniture.",,,,
ulmHandheldVacuumCleaner,items,Item,KgNone,"Handheld Vacuum Cleaner",,,,
ulmHandheldVacuumCleanerDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nA handy device for all your household and car cleaning needs.",,,,
ulmClothingIron,items,Item,KgNone,"Clothing Iron",,,,
ulmClothingIronDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nDamaged Clothing Iron.",,,,
ulmTVRemote,items,Item,KgNone,"Old TV Remote",,,,
ulmTVRemoteDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nI wonder if I could find a TV to pair it with. Oh wait, it looks like it's damaged.",,,,
ulmCalculator,items,Item,KgNone,"Old Calculator",,,,
ulmCalculatorDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nI wonder if I could somehow use it. Oh wait, it looks like it's damaged.",,,,
ulmCDPlayer,items,Item,KgNone,"Old CD Player",,,,
ulmCDPlayerDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nIt looks very damaged and the reading head inside looks bent and out of place.",,,,
ulmOldRadio,items,Item,KgNone,"Old Radio",,,,
ulmOldRadioDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nLooks antique and doesn't work, but some components can be salvageable for Scrap Electronics.",,,,
ulmOldSewingMachine,items,Item,KgNone,"Old Sewing Machine",,,,
ulmOldSewingMachineDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nIt's broken and doesn't seem like it's going to work any time soon.",,,,
ulmHeadphones,items,Item,KgNone,"Headphones",,,,
ulmHeadphonesDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Multiple[-]\n\nThere's some mold on the cups, yuck!",,,,
ulmBrokenCRTMonitor,items,Item,KgNone,"Broken CRT Monitor",,,,
ulmBrokenCRTMonitorDesc,items,Item,,"Type: [decea3]Junk[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Multiple[-]\n\nIt clearly looks broken and outdated.",,,,
ulmLCDMonitor,items,Item,KgNone,"LCD Monitor",,,,
ulmLCDMonitorDesc,items,Item,,"Type: [decea3]Resource[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nOutdated, but functional LCD monitor. You can find these on Cash Registers. Required to craft one of your own cash registers.",,,,
ulmBrokenCamera,items,Item,KgNone,"Broken Camera",,,,
ulmBrokenCameraDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nTop quality craftsmanship right here. Sadly, it's broken and beyond repair.",,,,
ulmCarStereo,items,Item,KgNone,"Car Stereo",,,,
ulmCarStereoDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nSeems like it hasn't been used for a long time.",,,,
ulmOldConsole,items,Item,KgNone,"Old Console",,,,
ulmOldConsoleDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nIt has some blood stains and cracks on it. Guess I won't be playing this in my safehouse at night.",,,,
ulmOldConsoleControler,items,Item,KgNone,"Old Console Controller",,,,
ulmOldConsoleControlerDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Multiple[-]\n\nDoesn't look functional. Maybe I can salvage some electronics out of it.",,,,
ulmOldCassettePlayer,items,Item,KgNone,"Old Cassette Player",,,,
ulmOldCassettePlayerDesc,items,Item,,"Type: [decea3]Junk[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Multiple[-]\n\nSome nasty blood stains on this unit. Perhaps from a reporter that got attacked or from what attacked him.",,,,
ulmOldSpeakerBox,items,Item,KgNone,"Old Speaker Box",,,,
ulmOldSpeakerBoxDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Multiple[-]\n\nJust a regular Speaker Box with a heap of dust on it.",,,,
ulmOldCellPhone,items,Item,KgNone,"Old Cell Phone",,,,
ulmOldCellPhoneDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Multiple[-]\n\nAn old mobile phone, remnant of time long ago.",,,,
ulmTennisBall,items,Item,KgNone,"Tennis Ball",,,,
ulmTennisBallDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Rubber[-]\n\nA Tennis Ball. Nothing special about it. Not sure where could it be used for.",,,,
ulmOldBasketball,items,Item,KgNone,"Old Basketball",,,,
ulmOldBasketballDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Rubber[-]\n\nThere's a big hole on the back of it.",,,,
ulmRubberDuck,items,Item,KgNone,"Rubber Duck",,,,
ulmRubberDuckDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Rubber[-]\n\nA dirty old Rubber Duck, nothing special about it.",,,,
ulmDildoStick,items,Item,KgNone,"Dildo Stick",,,,
ulmDildoStickDesc,items,Item,,"Type: [decea3]Junk[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Rubber[-]\n\nThat's a weird looking thing.",,,,
ulmSulfuricAcid,items,Item,KgNone,"Sulfuric Acid",,,,
ulmSulfuricAcidDesc,items,Item,,"Type: [decea3]Junk[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Chemistry Station[-]\nMaterial: [decea3]Sulfur[-]\n\nUsed in various cleaning agents and as an electrolyte in lead-acid batteries. Also used in mineral processing, fertilizer manufacturing, and oil refining.",,,,
ulmSulfurCleaner,items,Item,KgNone,"Carpet Cleaner",,,,
ulmSulfurCleanerDesc,items,Item,,"Type: [decea3]Junk[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Sulfur[-]\n\nUsed to clean carpets. Contains small amount of sulfur.",,,,
ulmSulfurCream,items,Item,KgNone,"Sulfur Skin Cream",,,,
ulmSulfurCreamDesc,items,Item,,"Type: [decea3]Junk[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Sulfur[-]\n\nMultipurpose sulfur activated skin care cream for treating Mites & Other Itchy Skin Conditions. Contains a small amount of sulfur.",,,,
ulmBrassKey,items,Item,KgNone,"Brass Key",,,,
ulmBrassKeyDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Brass[-]\n\nAn old looking Brass Key.",,,,
ulmBrassFaucet,items,Item,KgNone,"Brass Faucet",,,,
ulmBrassFaucetDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Brass[-]\n\nAn old Brass Faucet.",,,,
ulmBrassMug,items,Item,KgNone,"Brass Mug",,,,
ulmBrassMugDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Brass[-]\n\nA Brass Mug.",,,,
ulmBrassTrumpet,items,Item,KgNone,"Brass Trumpet",,,,
ulmBrassTrumpetDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Brass[-]\n\nLooks beaten up and not playable.",,,,
ulmScrapCable,items,Item,KgNone,"Scrap Cable",,,,
ulmScrapCableDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA simple scrap metal cable.",,,,
ulmSmallHeadphones,items,Item,KgNone,"Small Headphones",,,,
ulmSmallHeadphonesDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nBy scrapping them it's possible to get scrap metal or Scrap Cables by Examining and dismantling.",,,,
ulmDumbbell,items,Item,KgNone,"Dumbbell",,,,
ulmDumbbellDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nLooks and feels heavy.",,,,
ulmScissors,items,Item,KgNone,"Scissors",,,,
ulmScissorsDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nLooks dull and unusable.",,,,
ulmCutlery,items,Item,KgNone,"Cutlery",,,,
ulmCutleryDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA set of cheap cutlery made out of basic metal.",,,,
ulmToyPlane,items,Item,KgNone,"Toy Plane",,,,
ulmToyPlaneDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA toy plane, that's made out of metal.",,,,
ulmLighter,items,Item,KgNone,"Lighter",,,,
ulmLighterDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nAn old Lighter. Doesn't work.",,,,
ulmWristWatch,items,Item,KgNone,"Wrist Watch",,,,
ulmWristWatchDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nLooks like it's been used quite a lot. The pointers don't move.",,,,
ulmEmptySardineCan,items,Item,KgNone,"Empty Sardine Can",,,,
ulmEmptySardineCanDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nAn empty sardine can.",,,,
ulmOldGrater,items,Item,KgNone,"Old Grater",,,,
ulmOldGraterDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nAn old rusty Grater.",,,,
ulmDogtag,items,Item,KgNone,"Dog tag",,,,
ulmDogtagDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nMilitary Dog Tag, belonged to a soldier.",,,,
ulmCheapLocket,items,Item,KgNone,"Cheap Locket",,,,
ulmCheapLocketDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nFake locket made from cheap metal.",,,,
ulmBrokenSword,items,Item,KgNone,"Broken Sword",,,,
ulmBrokenSwordDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA broken medieval sword. I wonder if it has a story to it.",,,,
ulmKettle,items,Item,KgNone,"Rusty Kettle",,,,
ulmKettleDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nAn old Kettle with a big hole on the bottom of it.",,,,
ulmBottleCap,items,Item,KgNone,"Bottle Cap",,,,
ulmBottleCapDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nCould this be the next currency in the apocalypse?",,,,
ulmMicroscope,items,Item,KgNone,"Microscope",,,,
ulmMicroscopeDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nI think it's broken.",,,,
ulmBonesaw,items,Item,KgNone,"Bonesaw",,,,
ulmBonesawDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA crude bonesaw designed for cutting animal carcasses into smaller parts.",,,,
ulmSander,items,Item,KgNone,"Sander",,,,
ulmSanderDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Multiple[-]\n\nSander Tool.",,,,
ulmPlasticJuicer,items,Item,KgNone,"Plastic Juicer",,,,
ulmPlasticJuicerDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Plastic[-]\n\nA simple tool for extracting juices from various compatible fruits.",,,,
ulmStapler,items,Item,KgNone,"Stapler",,,,
ulmStaplerDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA mechanical device that joins pages of paper or similar material by driving a thin metal staple through the sheets and folding the ends.",,,,
ulmDeskOrganizer,items,Item,KgNone,"Desk Organizer",,,,
ulmDeskOrganizerDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA small metal desk organizer that is used to sort your worthless documents in a nice and organized way.",,,,
ulmTypewriter,items,Item,KgNone,"Typewriter",,,,
ulmTypewriterDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA machine made mostly out of metal parts that operates by means of keys that strike a ribbon to transmit ink or carbon impressions onto paper.",,,,
ulmMetalJug,items,Item,KgNone,"Metal Jug",,,,
ulmMetalJugDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nAn old metal Jug. People used to transport milk in it. Now I wouldn't use it for anything other than scrapping it for metal.",,,,
ulmScissorJack,items,Item,KgNone,"Scissor Jack",,,,
ulmScissorJackDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nIf you ever would encounter a flat tire, then this tool might save your day.",,,,
ulmMeatGrinder,items,Item,KgNone,"Meat Grinder",,,,
ulmMeatGrinderDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nA tool for grinding up meat chunks.",,,,
ulmWallet1,items,Item,KgNone,"Men's Wallet",,,,
ulmWallet1Desc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\nA Wallet made out of Leather. This belonged to someone. Can scrap it to make leather.",,,,
ulmWallet2,items,Item,KgNone,"Empty Wallet",,,,
ulmWallet2Desc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\nA Wallet made out of Leather. This belonged to someone. Can scrap it to make leather.",,,,
ulmWallet3,items,Item,KgNone,"Women's Wallet",,,,
ulmWallet3Desc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\nA Wallet made out of Leather. This belonged to someone. Can scrap it to make leather.",,,,
ulmWallet4,items,Item,KgNone,"Women's Pouch Wallet",,,,
ulmWallet4Desc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\nA Wallet made out of Leather. This belonged to someone. Can scrap it to make leather.",,,,
ulmSewingKit,items,Item,KgNone,"Sewing Kit",,,,
ulmSewingKitDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\nEverything you need to fix light fabric items.",,,,
ulmTowel,items,Item,KgNone,"Towel",,,,
ulmTowelDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nCan make some cloth fragments out of this.",,,,
ulmDirtyTowel,items,Item,KgNone,"Dirty Towel",,,,
ulmDirtyTowelDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nLooks very dirty. It's so stained it can't be washed clean.",,,,
ulmBlanket,items,Item,KgNone,"Blanket",,,,
ulmBlanketDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nCan make some cloth fragments out of this.",,,,
ulmDirtyBlanket,items,Item,KgNone,"Dirty Blanket",,,,
ulmDirtyBlanketDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nCan make some cloth fragments out of this.",,,,
ulmBloodyBlanket,items,Item,KgNone,"Bloody Blanket",,,,
ulmBloodyBlanketDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nThe blood is soaked up pretty thoroughly in it.",,,,
ulmCottonFabric,items,Item,KgNone,"Cotton Fabric",,,,
ulmCottonFabricDesc,items,Item,,"Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\nA fine cotton fabric.",,,,
ulmToiletPaper,items,Item,KgNone,"Toilet Paper",,,,
